player,url,wikidata
Memphis Depay,https://en.wikipedia.org/wiki/Memphis_Depay,http://www.wikidata.org/entity/Q1894
Chris Iwelumo,https://en.wikipedia.org/wiki/Chris_Iwelumo,http://www.wikidata.org/entity/Q10726
Troy Deeney,https://en.wikipedia.org/wiki/Troy_Deeney,http://www.wikidata.org/entity/Q10725
Matěj Vydra,https://en.wikipedia.org/wiki/Mat%C4%9Bj_Vydra,http://www.wikidata.org/entity/Q10735
Daniel Pudil,https://en.wikipedia.org/wiki/Daniel_Pudil,http://www.wikidata.org/entity/Q10732
Prince Buaben,https://en.wikipedia.org/wiki/Prince_Buaben,http://www.wikidata.org/entity/Q10733
Tommie Hoban,https://en.wikipedia.org/wiki/Tommie_Hoban,http://www.wikidata.org/entity/Q10767
Jonathan Bond,https://en.wikipedia.org/wiki/Jonathan_Bond,http://www.wikidata.org/entity/Q10764
Alex Geijo,https://en.wikipedia.org/wiki/Alexandre_Geijo,http://www.wikidata.org/entity/Q10772
Geoffrey Mujangi Bia,https://en.wikipedia.org/wiki/Geoffrey_Mujangi_Bia,http://www.wikidata.org/entity/Q10781
Cristian Battocchio,https://en.wikipedia.org/wiki/Cristian_Battocchio,http://www.wikidata.org/entity/Q10785
Nathaniel Chalobah,https://en.wikipedia.org/wiki/Nathaniel_Chalobah,http://www.wikidata.org/entity/Q10788
Joel Ekstrand,https://en.wikipedia.org/wiki/Joel_Ekstrand,http://www.wikidata.org/entity/Q10792
Jean-Alain Fanchone,https://en.wikipedia.org/wiki/Jean-Alain_Fanchone,http://www.wikidata.org/entity/Q10796
Rachel Brown,https://en.wikipedia.org/wiki/Rachel_Brown-Finnis,http://www.wikidata.org/entity/Q10857
Siobhan Chamberlain,https://en.wikipedia.org/wiki/Siobhan_Chamberlain,http://www.wikidata.org/entity/Q10860
Laura Bassett,https://en.wikipedia.org/wiki/Laura_Bassett,http://www.wikidata.org/entity/Q10875
Dunia Susi,https://en.wikipedia.org/wiki/Dunia_Susi,http://www.wikidata.org/entity/Q10878
Sophie Bradley-Auckland,https://en.wikipedia.org/wiki/Sophie_Bradley-Auckland,http://www.wikidata.org/entity/Q10879
Rachel Yankey,https://en.wikipedia.org/wiki/Rachel_Yankey,http://www.wikidata.org/entity/Q10883
Claire Rafferty,https://en.wikipedia.org/wiki/Claire_Rafferty,http://www.wikidata.org/entity/Q10881
Fara Williams,https://en.wikipedia.org/wiki/Fara_Williams,http://www.wikidata.org/entity/Q10885
Karen Carney,https://en.wikipedia.org/wiki/Karen_Carney,http://www.wikidata.org/entity/Q10889
Jill Scott,https://en.wikipedia.org/wiki/Jill_Scott_(footballer),http://www.wikidata.org/entity/Q10896
Anita Asante,https://en.wikipedia.org/wiki/Anita_Asante,http://www.wikidata.org/entity/Q10902
Ole Gunnar Solskjær,https://en.wikipedia.org/wiki/Ole_Gunnar_Solskj%C3%A6r,http://www.wikidata.org/entity/Q18976
