id,url,occupation,wikiid
Tsugumi,https://en.wikipedia.org/wiki/Tsugumi_(actress),actor,http://www.wikidata.org/entity/Q181604
Harumi Miyako,https://en.wikipedia.org/wiki/Harumi_Miyako,actor,http://www.wikidata.org/entity/Q181434
Toshirō Mifune,https://en.wikipedia.org/wiki/Toshiro_Mifune,actor,http://www.wikidata.org/entity/Q37001
Katsuhisa Namase,https://en.wikipedia.org/wiki/Katsuhisa_Namase,actor,http://www.wikidata.org/entity/Q1138475
Kyōka Suzuki,https://en.wikipedia.org/wiki/Ky%C5%8Dka_Suzuki,actor,http://www.wikidata.org/entity/Q1138439
Yoshiko Tanaka,https://en.wikipedia.org/wiki/Yoshiko_Tanaka,actor,http://www.wikidata.org/entity/Q465268
Nozomi Sasaki,https://en.wikipedia.org/wiki/Nozomi_Sasaki_(model),actor,http://www.wikidata.org/entity/Q465236
Masami Nagasawa,https://en.wikipedia.org/wiki/Masami_Nagasawa,actor,http://www.wikidata.org/entity/Q253900
Kyoko Fukada,https://en.wikipedia.org/wiki/Kyoko_Fukada,actor,http://www.wikidata.org/entity/Q253882
Haruka Shimazaki,https://en.wikipedia.org/wiki/Haruka_Shimazaki,actor,http://www.wikidata.org/entity/Q169400
Rena Katō,https://en.wikipedia.org/wiki/Rena_Kato,actor,http://www.wikidata.org/entity/Q169689
Meiko Kaji,https://en.wikipedia.org/wiki/Meiko_Kaji,actor,http://www.wikidata.org/entity/Q175900
Guts Ishimatsu,https://en.wikipedia.org/wiki/Guts_Ishimatsu,actor,http://www.wikidata.org/entity/Q745408
Hibari Misora,https://en.wikipedia.org/wiki/Hibari_Misora,actor,http://www.wikidata.org/entity/Q147811
Eiji Okada,https://en.wikipedia.org/wiki/Eiji_Okada,actor,http://www.wikidata.org/entity/Q139253
Rina Kawaei,https://en.wikipedia.org/wiki/Rina_Kawaei,actor,http://www.wikidata.org/entity/Q169248
Anna Iriyama,https://en.wikipedia.org/wiki/Anna_Iriyama,actor,http://www.wikidata.org/entity/Q169210
