,Query,Article,URL,Similarity
0,C-1,B-75,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-75.txt,0.042606516290726815
1,C-1,B-50,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-50.txt,0.023195876288659795
2,C-1,B-52,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-52.txt,0.022556390977443608
3,C-1,B-98,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-98.txt,0.022222222222222223
4,C-1,B-84,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-84.txt,0.0196078431372549
5,C-1,B-27,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-27.txt,0.0125
6,C-1,B-13,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-13.txt,0.0024096385542168677
