,Query,Article,URL,Similarity
0,C-1,B-84,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-84.txt,0.15444824252275635
1,C-1,B-52,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-52.txt,0.14973906223128028
2,C-1,B-75,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-75.txt,0.13331642040795624
3,C-1,B-17,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-17.txt,0.11059439558023165
4,C-1,B-19,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-19.txt,0.10112856896653634
5,C-1,B-27,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-27.txt,0.10040058538862348
6,C-1,B-71,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-71.txt,0.09449334082613624
7,C-1,B-72,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-72.txt,0.09083535225128193
8,C-1,B-98,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-98.txt,0.09031934345938583
9,C-1,B-36,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-36.txt,0.08923839911056591
10,C-1,B-50,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-50.txt,0.07910842941186873
11,C-1,B-13,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-13.txt,0.07851591593827392
12,C-1,B-44,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-44.txt,0.07695987610651604
13,C-1,B-5,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-5.txt,0.07453545238809389
14,C-1,B-54,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-54.txt,0.07140585155778066
15,C-1,B-49,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-49.txt,0.06837060146103054
16,C-1,B-58,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-58.txt,0.06832043791843502
17,C-1,B-10,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-10.txt,0.06648906809476264
18,C-1,B-48,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-48.txt,0.06612561685738375
19,C-1,B-38,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-38.txt,0.06543246490141806
