,Query,Article,URL,Similarity
0,C-1,B-75,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-75.txt,0.05593451568894952
1,C-1,B-27,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-27.txt,0.04748603351955307
2,C-1,B-84,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-84.txt,0.046635576282478344
3,C-1,B-17,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-17.txt,0.038306451612903226
4,C-1,B-52,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-52.txt,0.03513513513513514
5,C-1,B-98,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-98.txt,0.027516778523489934
6,C-1,B-5,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-5.txt,0.026863666890530557
7,C-1,B-13,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-13.txt,0.024262295081967214
8,C-1,B-26,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-26.txt,0.02330226364846871
9,C-1,B-54,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-54.txt,0.022837370242214532
10,C-1,B-50,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-50.txt,0.022408963585434174
11,C-1,B-10,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-10.txt,0.02054340622929092
12,C-1,B-72,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-72.txt,0.020077720207253884
13,C-1,B-95,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-95.txt,0.019987105093488073
14,C-1,B-38,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-38.txt,0.019749835418038184
15,C-1,B-44,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-44.txt,0.01828029790115098
16,C-1,B-88,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-88.txt,0.018243243243243244
17,C-1,B-90,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-90.txt,0.01782178217821782
18,C-1,B-1,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-1.txt,0.017763157894736842
19,C-1,B-2,/Users/smallcat/Documents/GitHub/graph/dnp/kg/data/newsrelease_B-1-100_C-1-4/B-2.txt,0.017298735861610112
